rank,nome,avaliacao
577,Dixit: Journey,7.41
578,Atlantis Rising (Second Edition),7.74
579,Lord of the Rings: The Confrontation,7.20
580,Zombicide: Green Horde,7.75
581,Medici,7.16
582,Mr. Jack,7.00
583,Coloretto,6.97
584,The Downfall of Pompeii,7.14
585,Exit: The Game – The Pharaoh's Tomb,7.21
586,Thunderstone Advance: Towers of Ruin,7.36
587,Luna,7.31
588,Kingdom Builder,6.96
589,Smash Up: Awesome Level 9000,7.24
590,Cuba,7.13
591,Pan Am,7.63
592,Torres,7.10
593,Escape: The Curse of the Temple,6.98
594,Myrmes,7.27
595,Cacao,7.09
596,HeroQuest,7.16
597,Specter Ops,7.22
598,Fury of Dracula (Second Edition),7.12
599,Defenders of the Realm,7.29
600,Leaving Earth,7.77
601,Leaving Earth,7.77
602,Unlock!: Heroic Adventures,7.71
603,Elder Sign,6.98
604,Between Two Castles of Mad King Ludwig,7.30
605,Fleet: The Dice Game,7.74
606,ZhanGuo,7.57
607,Fort,7.27
608,Yamataï,7.21
609,6 nimmt!,6.93
610,Fantastic Factories,7.52
611,Tokaido,6.97
612,Warhammer Quest: The Adventure Card Game,7.34
613,Feudum,7.66
614,Steampunk Rally,7.20
615,Crusaders: Thy Will Be Done,7.53
616,Arkwright,7.83
617,Wallenstein,7.47
618,Tash-Kalar: Arena of Legends,7.17
619,Telestrations: 12 Player Party Pack,7.75
620,Love Letter: Batman,7.27
621,Advanced Squad Leader: Starter Kit #1,7.84
622,The Networks,7.20
623,D-Day at Omaha Beach,8.28
624,Vegas Showdown,7.17
625,BANG! The Dice Game,6.93
626,The Oracle of Delphi,7.29
627,Prêt-à-Porter,7.38
628,Dragon Castle,7.16
629,Wir sind das Volk!,7.83
630,Mexica,7.23
631,Black Rose Wars,8.09
632,Century: Eastern Wonders,7.18
633,Whitehall Mystery,7.58
634,Onirim (Second Edition),7.07
635,Project L,7.59
636,City of the Big Shoulders,7.85
637,K2,7.04
638,Ashes Reborn: Rise of the Phoenixborn,7.30
639,My Little Scythe,7.32
640,Treasure Island,7.28
641,Arcadia Quest: Inferno,7.96
642,Eminent Domain,7.02
643,Middle-Earth Quest,7.39
644,Yspahan,7.08
645,Ascension: Deckbuilding Game,7.03
646,Cribbage,7.07
647,Churchill,7.67
648,Up Front,7.87
649,Carcassonne: The Castle,7.10
650,Empires: Age of Discovery,7.87
651,Shipyard,7.36
652,Century: A New World,7.42
653,Civilization: A New Dawn,7.29
654,The Duke,7.37
655,Between Two Cities,7.01
656,Disney Villainous,7.05
657,Shards of Infinity,7.53
658,Space Hulk,7.47
659,Space Hulk: Death Angel – The Card Game,7.00
660,Cry Havoc,7.17
661,Coal Baron,7.28
662,Diplomacy,7.04
663,Zombicide Season 2: Prison Outbreak,7.38
664,Reef,7.07
665,Oh My Goods!,7.00
666,A Fake Artist Goes to New York,7.16
667,Disney Villainous: Wicked to the Core,7.64
668,Aquatica,7.43
669,New Frontiers,7.52
670,Caverna: Cave vs Cave,7.16
671,Villagers,7.26
672,Ex Libris,7.18
673,Imperial Struggle,8.33
674,Warhammer: Invasion,7.23
675,Wits & Wagers,6.93
676,World Without End,7.25
